input,output
"명문대입학장학금 신청하고 싶은데 지금 가능해?","{'title': '명문대입학장학금', 'degree': '학부', 'status': 'active'} "
"충남도립대입학장학금 신청하고 싶은데 지금 가능해?","{'title': '충남도립대입학장학금', 'degree': '학부', 'status': 'active'} "
"성적우수장학금(대학교신입생) 신청하고 싶은데 지금 가능해?","{'title': '성적우수장학금(대학교신입생)', 'degree': '학부', 'status': 'active'} "
"성적우수장학금(군내대학재학생) 신청하고 싶은데 지금 가능해?","{'title': '성적우수장학금(군내대학재학생)', 'degree': '학부', 'status': 'active'} "
"성적우수장학금(군외대학재학생) 신청하고 싶은데 지금 가능해?","{'title': '성적우수장학금(군외대학재학생)', 'degree': '학부', 'status': 'active'} "
"예체능장학금 신청하고 싶은데 지금 가능해?","{'title': '예체능장학금', 'degree': '학부', 'status': 'active'} "
"장학생 신청하고 싶은데 지금 가능해?","{'title': '장학생', 'degree': '학부', 'status': 'active'} "
"우 장학생 신청하고 싶은데 지금 가능해?","{'title': '우 장학생', 'degree': '학부', 'status': 'active'} "
"보훈장학금 신청하고 싶은데 지금 가능해?","{'title': '보훈장학금', 'degree': '학부', 'status': 'active'} "
"주거비장학금 신청하고 싶은데 지금 가능해?","{'title': '주거비장학금', 'degree': '학부', 'status': 'active'} "
"모범장학생 신청하고 싶은데 지금 가능해?","{'title': '모범장학생', 'degree': '학부', 'status': 'active'} "
"특기장학생 신청하고 싶은데 지금 가능해?","{'title': '특기장학생', 'degree': '학부', 'status': 'active'} "
"구민한마음 4년 장학금 신청하고 싶은데 지금 가능해?","{'title': '구민한마음 4년 장학금', 'degree': '학부', 'status': 'active'} "
"대여학자금 신청하고 싶은데 지금 가능해?","{'title': '대여학자금', 'degree': '학부', 'status': 'active'} "
"특기우수장학생장학금 신청하고 싶은데 지금 가능해?","{'title': '특기우수장학생장학금', 'degree': '학부', 'status': 'active'} "
"철쭉장학금 신청하고 싶은데 지금 가능해?","{'title': '철쭉장학금', 'degree': '학부', 'status': 'active'} "
"예체능특기장학생 신청하고 싶은데 지금 가능해?","{'title': '예체능특기장학생', 'degree': '학부', 'status': 'active'} "
"생활비장학금 신청하고 싶은데 지금 가능해?","{'title': '생활비장학금', 'degree': '학부', 'status': 'active'} "
"새내기 지원금 신청하고 싶은데 지금 가능해?","{'title': '새내기 지원금', 'degree': '학부', 'status': 'active'} "
"대학재학장학금 신청하고 싶은데 지금 가능해?","{'title': '대학재학장학금', 'degree': '학부', 'status': 'active'} "
"지역대학입학 신청하고 싶은데 지금 가능해?","{'title': '지역대학입학', 'degree': '학부', 'status': 'active'} "
"장학금 신청하고 싶은데 지금 가능해?","{'title': '장학금', 'degree': '학부', 'status': 'active'} "
"대학입학장학금 신청하고 싶은데 지금 가능해?","{'title': '대학입학장학금', 'degree': '학부', 'status': 'active'} "
"대학생학자금대출이자지원 신청하고 싶은데 지금 가능해?","{'title': '대학생학자금대출이자지원', 'degree': '학부', 'status': 'active'} "
"보훈장학금(대학원장학) 신청하고 싶은데 지금 가능해?","{'title': '보훈장학금(대학원장학)', 'degree': '학부', 'status': 'active'} "
"예/체능특기자장학금 신청하고 싶은데 지금 가능해?","{'title': '예/체능특기자장학금', 'degree': '학부', 'status': 'active'} "
"기초차상위장학금 신청하고 싶은데 지금 가능해?","{'title': '기초차상위장학금', 'degree': '학부', 'status': 'active'} "
"학자금대출 이자지원 신청하고 싶은데 지금 가능해?","{'title': '학자금대출 이자지원', 'degree': '학부', 'status': 'active'} "
"보훈장학금(특수교육장학) 신청하고 싶은데 지금 가능해?","{'title': '보훈장학금(특수교육장학)', 'degree': '학부', 'status': 'active'} "
"꿈이룸장학(인재양성형) 신청하고 싶은데 지금 가능해?","{'title': '꿈이룸장학(인재양성형)', 'degree': '학부', 'status': 'active'} "
